date | asn | count | cc
20110317 | 18881 | 2619 | BR
20110317 | 15201 | 45 | BR
20110317 | 28330 | 164 | BR
20110317 | 17222 | 88 | BR
20110317 | 12989 | 44 | NL
20110317 | 262731 | 66 | BR
20110317 | 10704 | 37 | BR
20110317 | 27715 | 96 | BR
20110317 | 28245 | 332 | BR
20110317 | 6505 | 111 | BR
20110317 | 53144 | 198 | BR
20110317 | 53140 | 26 | BR
20110317 | 28323 | 107 | BR
20110317 | 19182 | 643 | BR
20110317 | 28661 | 348 | BR
20110317 | 2688 | 192 | None
20110317 | 28666 | 66 | BR
20110317 | 28140 | 32 | BR
20110317 | 28668 | 279 | BR
20110317 | 22431 | 390 | BR
20110317 | 11706 | 25 | BR
20110317 | 262673 | 52 | BR
20110317 | 262677 | 36 | BR
20110317 | 8167 | 1299 | BR
20110317 | 28360 | 302 | BR
20110317 | 53100 | 67 | BR
20110317 | 28590 | 149 | BR
20110317 | 53102 | 42 | BR
20110317 | 2716 | 80 | BR
20110317 | 53080 | 36 | BR
20110317 | 53086 | 26 | BR
20110317 | 28624 | 405 | BR
20110317 | 26622 | 40 | BR
20110317 | 28186 | 104 | BR
20110317 | 53070 | 169 | BR
20110317 | 28218 | 104 | BR
20110317 | 28219 | 72 | BR
20110317 | 11835 | 64 | BR
20110317 | 14840 | 81 | BR
20110317 | 28135 | 221 | BR
20110317 | 28138 | 26 | BR
20110317 | 22085 | 221 | BR
20110317 | 28001 | 30 | UY
20110317 | 16397 | 145 | BR
20110317 | 13878 | 156 | BR
20110317 | 53131 | 34 | BR
20110317 | 28310 | 336 | BR
20110317 | 14026 | 36 | BR
20110317 | 1916 | 516 | BR
20110317 | 12222 | 27 | US
20110317 | 19089 | 117 | BR
20110317 | 22689 | 495 | BR
20110317 | 26592 | 70 | BR
20110317 | 26599 | 121 | BR
20110317 | 17379 | 38 | BR
20110317 | 16594 | 32 | BR
20110317 | 262686 | 56 | BR
20110317 | 262684 | 38 | BR
20110317 | 262680 | 26 | BR
20110317 | 53166 | 31 | BR
20110317 | 14571 | 64 | BR
20110317 | 16685 | 40 | BR
20110317 | 28580 | 208 | BR
20110317 | 53093 | 81 | BR
20110317 | 4230 | 208 | BR
20110317 | 28630 | 90 | BR
20110317 | 28634 | 150 | BR
20110317 | 28637 | 130 | BR
20110317 | 28229 | 188 | BR
20110317 | 12140 | 39 | BR
20110317 | 262750 | 36 | BR
20110317 | 28220 | 209 | BR
20110317 | 28226 | 48 | BR
20110317 | 28647 | 144 | BR
20110317 | 28640 | 96 | BR
20110317 | 28649 | 147 | BR
20110317 | 28620 | 112 | BR
20110317 | 14282 | 46 | BR
20110317 | 53068 | 62 | BR
20110317 | 262659 | 76 | BR
20110317 | 262713 | 55 | BR
20110317 | 262716 | 36 | BR
20110317 | 28573 | 2374 | BR
20110317 | 262870 | 34 | 
20110317 | 28307 | 35 | BR
20110317 | 28303 | 163 | 
20110317 | 28265 | 88 | BR
20110317 | 28264 | 54 | BR
20110317 | 28263 | 41 | BR
20110317 | 28286 | 322 | 
20110317 | 28280 | 89 | BR
20110317 | 22356 | 62 | BR
20110317 | 28289 | 59 | BR
20110317 | 28160 | 72 | BR
20110317 | 28161 | 64 | BR
20110317 | 28165 | 36 | BR
20110317 | 28168 | 84 | 
